id,dates,cardinal_points,region,city,latitude,longitude,category,commodity,unit,price_flag,price_type,currency,price,usd_price
1,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1.25,0.1304
2,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,cereals and tubers,Couscous,KG,actual,Retail,LYD,3.5,0.7607
3,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,cereals and tubers,Pasta,500 G,actual,Retail,LYD,1.9,0.413
4,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,cereals and tubers,Potatoes,KG,actual,Retail,LYD,3,0.6521
5,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,cereals and tubers,Rice,KG,actual,Retail,LYD,2.8,0.6086
6,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1,0.2174
7,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,7.5,1.6302
8,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,4.4,0.9564
9,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,12.5,2.7169
10,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,"meat, fish and eggs",Meat (lamb),KG,actual,Retail,LYD,22,4.7818
11,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,4,0.8694
12,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,4,0.8694
13,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,30,6.5207
14,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,miscellaneous food,Salt,KG,actual,Retail,LYD,1.3,0.2826
15,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,miscellaneous food,Sugar,KG,actual,Retail,LYD,2.5,0.5434
16,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,8,1.7388
17,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,6,1.3041
18,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,1,0.2174
19,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,oil and fats,Oil (vegetable),L,actual,Retail,LYD,3.5,0.7607
20,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
21,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,4,0.8694
22,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,vegetables and fruits,Onions,KG,actual,Retail,LYD,2.5,0.5434
23,6/15/2017,East,Derna,Derna,32.75938034,22.63831902,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,1.5,0.326
24,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1.3,0.2826
25,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,cereals and tubers,Couscous,KG,actual,Retail,LYD,4,0.8694
26,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,cereals and tubers,Pasta,500 G,actual,Retail,LYD,2.05,0.4456
27,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,cereals and tubers,Potatoes,KG,actual,Retail,LYD,3,0.6521
28,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,cereals and tubers,Rice,KG,actual,Retail,LYD,3.25,0.7064
29,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,cereals and tubers,Wheat flour,KG,actual,Retail,LYD,1.3,0.2826
30,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,LYD,6.5,1.4128
31,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,"meat, fish and eggs","Fish (tuna, canned)",200 G,actual,Retail,LYD,4.55,0.989
32,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,LYD,8.2,1.7823
33,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,milk and dairy,Milk (condensed),200 ML,actual,Retail,LYD,3.13,0.6803
34,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,milk and dairy,Milk (pasteurized),L,actual,Retail,LYD,8,1.7388
35,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,milk and dairy,"Milk (powder, infant formula)",KG,actual,Retail,LYD,40,8.6942
36,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,miscellaneous food,Salt,KG,actual,Retail,LYD,1,0.2174
37,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,miscellaneous food,Sugar,KG,actual,Retail,LYD,3,0.6521
38,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,miscellaneous food,Tea (black),250 G,actual,Retail,LYD,9,1.9562
39,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,miscellaneous food,Tea (green),250 G,actual,Retail,LYD,5.25,1.1411
40,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,miscellaneous food,Tomatoes (paste),400 G,actual,Retail,LYD,1.38,0.3
41,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,oil and fats,Oil (vegetable),L,actual,Retail,LYD,3,0.6521
42,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,pulses and nuts,Chickpeas,400 G,actual,Retail,LYD,2.5,0.5434
43,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,vegetables and fruits,Chili (green),KG,actual,Retail,LYD,4,0.8694
44,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,vegetables and fruits,Onions,KG,actual,Retail,LYD,2,0.4347
45,6/15/2017,South,Sebha,Sebha,27.03734016,14.42531967,vegetables and fruits,Tomatoes,KG,actual,Retail,LYD,2,0.4347
46,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,cereals and tubers,Bread,5 pcs,actual,Retail,LYD,1,0.2174
47,6/15/2017,South,Wadi Ashshati,Brak,27.55163002,14.27214432,cereals and tubers,Couscous,KG,actual,Retail,LYD,4,0.8694
